SIM,HSV1-nCSF1,HSV1-nCSF3,HSV1-nCSF4,HSV1-nCSF5,HSV1-nCSF6,HSV1-nCSF7,HSV1-nCSF9,HSV1-nCSF10,HSV1-nCSF11,HSV1-nCSF13,HSV-nCSF14,HSV1-nCSF15,HSV1-CSF6,HSV1-CSF7,HSV1-CSF8
28,2.66E-04,2.73E-04,1.69E-04,1.65E-04,2.67E-04,1.11E-03,1.98E-04,2.16E-04,3.16E-04,2.55E-04,1.73E-04,1.47E-04,1.78E-04,1.91E-04,2.55E-04
29,2.58E-04,2.47E-04,2.03E-04,1.76E-04,2.71E-04,1.15E-03,1.92E-04,2.08E-04,3.19E-04,2.58E-04,1.73E-04,1.33E-04,2.06E-04,2.03E-04,2.70E-04
30,2.51E-04,2.50E-04,2.04E-04,1.62E-04,2.81E-04,1.13E-03,1.99E-04,2.14E-04,3.01E-04,2.46E-04,1.67E-04,1.44E-04,1.81E-04,2.05E-04,2.37E-04
31,2.53E-04,2.42E-04,2.17E-04,1.59E-04,2.75E-04,1.12E-03,2.01E-04,2.24E-04,3.33E-04,2.70E-04,1.77E-04,1.37E-04,1.92E-04,2.17E-04,2.61E-04
32,2.43E-04,2.62E-04,1.70E-04,1.73E-04,2.63E-04,1.12E-03,1.95E-04,2.14E-04,3.05E-04,2.50E-04,1.83E-04,1.39E-04,1.89E-04,2.17E-04,2.54E-04
33,2.59E-04,2.58E-04,2.13E-04,1.69E-04,2.65E-04,1.10E-03,2.09E-04,2.19E-04,2.85E-04,2.75E-04,1.63E-04,1.30E-04,1.84E-04,1.95E-04,2.60E-04
34,2.51E-04,2.65E-04,2.02E-04,1.51E-04,2.73E-04,1.11E-03,2.05E-04,2.02E-04,3.05E-04,2.55E-04,1.60E-04,1.29E-04,1.85E-04,2.11E-04,2.83E-04
35,2.62E-04,2.51E-04,1.96E-04,1.68E-04,2.69E-04,1.12E-03,2.07E-04,2.13E-04,3.15E-04,2.42E-04,1.64E-04,1.35E-04,1.85E-04,2.09E-04,2.97E-04
36,2.53E-04,2.49E-04,1.91E-04,1.82E-04,2.67E-04,1.12E-03,1.95E-04,2.14E-04,2.98E-04,2.42E-04,1.67E-04,1.35E-04,1.72E-04,1.95E-04,2.37E-04
37,2.64E-04,2.64E-04,2.00E-04,1.70E-04,2.82E-04,1.12E-03,1.97E-04,2.03E-04,3.05E-04,2.62E-04,1.68E-04,1.47E-04,1.97E-04,2.08E-04,2.30E-04
38,2.61E-04,2.57E-04,2.03E-04,1.72E-04,2.62E-04,1.10E-03,2.03E-04,2.04E-04,3.18E-04,2.70E-04,1.60E-04,1.34E-04,1.81E-04,2.08E-04,2.36E-04
39,2.51E-04,2.42E-04,2.07E-04,1.83E-04,2.70E-04,1.11E-03,2.01E-04,2.13E-04,3.09E-04,2.44E-04,1.61E-04,1.36E-04,2.00E-04,2.02E-04,2.61E-04
40,2.54E-04,2.61E-04,1.90E-04,1.63E-04,2.88E-04,1.13E-03,2.08E-04,2.22E-04,3.23E-04,2.76E-04,1.68E-04,1.44E-04,2.02E-04,2.18E-04,2.39E-04
41,2.54E-04,2.81E-04,1.86E-04,1.69E-04,2.63E-04,1.10E-03,1.97E-04,2.12E-04,3.06E-04,2.57E-04,1.83E-04,1.46E-04,1.99E-04,2.19E-04,2.66E-04
42,2.67E-04,2.71E-04,2.23E-04,1.52E-04,2.84E-04,1.10E-03,1.96E-04,2.13E-04,2.99E-04,2.39E-04,1.65E-04,1.48E-04,1.67E-04,2.06E-04,2.77E-04
43,2.56E-04,2.46E-04,2.01E-04,1.65E-04,2.53E-04,1.14E-03,2.01E-04,2.12E-04,3.10E-04,2.41E-04,1.87E-04,1.40E-04,1.82E-04,2.09E-04,2.47E-04
44,2.75E-04,2.43E-04,1.79E-04,1.77E-04,2.62E-04,1.11E-03,2.01E-04,2.10E-04,3.13E-04,2.44E-04,1.62E-04,1.38E-04,1.90E-04,1.96E-04,2.53E-04
45,2.59E-04,2.47E-04,2.03E-04,1.70E-04,2.71E-04,1.14E-03,1.88E-04,2.07E-04,3.12E-04,2.51E-04,1.76E-04,1.41E-04,2.06E-04,1.88E-04,2.60E-04
46,2.57E-04,2.40E-04,1.83E-04,1.68E-04,2.56E-04,1.11E-03,1.98E-04,2.10E-04,3.03E-04,2.52E-04,1.81E-04,1.46E-04,2.03E-04,2.07E-04,2.65E-04
47,2.54E-04,2.46E-04,2.03E-04,1.72E-04,2.73E-04,1.11E-03,1.96E-04,2.12E-04,3.16E-04,2.57E-04,1.72E-04,1.60E-04,1.79E-04,2.00E-04,2.60E-04
48,2.54E-04,2.65E-04,2.05E-04,1.69E-04,2.70E-04,1.13E-03,2.22E-04,2.23E-04,2.91E-04,2.21E-04,1.71E-04,1.48E-04,1.98E-04,1.96E-04,2.57E-04
49,2.59E-04,2.74E-04,2.22E-04,1.73E-04,2.69E-04,1.11E-03,2.11E-04,2.01E-04,2.89E-04,2.66E-04,1.77E-04,1.35E-04,2.04E-04,2.00E-04,2.69E-04
50,2.46E-04,2.65E-04,1.84E-04,1.69E-04,2.82E-04,1.12E-03,2.01E-04,2.20E-04,3.29E-04,2.50E-04,1.69E-04,1.43E-04,2.06E-04,1.94E-04,2.67E-04
51,2.50E-04,2.56E-04,1.86E-04,1.71E-04,2.80E-04,1.11E-03,2.11E-04,2.09E-04,3.01E-04,2.48E-04,1.58E-04,1.42E-04,1.79E-04,2.06E-04,2.47E-04
52,2.63E-04,2.85E-04,1.99E-04,1.77E-04,2.62E-04,1.13E-03,2.04E-04,2.11E-04,3.27E-04,2.49E-04,1.58E-04,1.32E-04,1.90E-04,1.90E-04,2.69E-04
53,2.54E-04,2.46E-04,2.14E-04,1.67E-04,2.85E-04,1.12E-03,1.96E-04,2.02E-04,3.14E-04,2.63E-04,1.43E-04,1.46E-04,1.83E-04,2.06E-04,2.34E-04
54,2.45E-04,2.62E-04,2.08E-04,1.66E-04,2.80E-04,1.12E-03,1.92E-04,2.07E-04,3.18E-04,2.37E-04,1.66E-04,1.44E-04,1.89E-04,2.02E-04,2.53E-04
55,2.39E-04,2.54E-04,1.96E-04,1.64E-04,2.60E-04,1.11E-03,2.05E-04,2.10E-04,3.21E-04,2.42E-04,1.67E-04,1.43E-04,1.90E-04,1.90E-04,2.19E-04
56,2.51E-04,2.59E-04,2.32E-04,1.72E-04,2.76E-04,1.13E-03,1.99E-04,2.13E-04,3.00E-04,2.46E-04,1.48E-04,1.23E-04,1.91E-04,1.98E-04,2.21E-04
57,2.68E-04,2.61E-04,2.09E-04,1.74E-04,2.58E-04,1.10E-03,1.98E-04,2.32E-04,2.99E-04,2.32E-04,1.70E-04,1.34E-04,1.87E-04,2.03E-04,2.57E-04
58,2.72E-04,2.51E-04,1.92E-04,1.64E-04,2.47E-04,1.10E-03,1.92E-04,2.11E-04,3.11E-04,2.72E-04,1.64E-04,1.38E-04,2.06E-04,2.05E-04,2.54E-04
59,2.59E-04,2.63E-04,1.95E-04,1.62E-04,2.73E-04,1.12E-03,1.99E-04,2.16E-04,3.12E-04,2.35E-04,1.55E-04,1.43E-04,1.82E-04,1.90E-04,2.34E-04
