SIM,HSV1-nCSF1,HSV1-nCSF3,HSV1-nCSF4,HSV1-nCSF5,HSV1-nCSF6,HSV1-nCSF7,HSV1-nCSF9,HSV1-nCSF10,HSV1-nCSF11,HSV1-nCSF13,HSV-nCSF14,HSV1-nCSF15,HSV1-CSF6,HSV1-CSF7,HSV1-CSF8
60,2.61E-04,2.50E-04,2.19E-04,1.55E-04,2.46E-04,1.12E-03,1.98E-04,2.01E-04,3.25E-04,2.68E-04,1.65E-04,1.37E-04,2.01E-04,2.12E-04,2.57E-04
61,2.59E-04,2.53E-04,1.99E-04,1.70E-04,2.71E-04,1.15E-03,1.96E-04,2.16E-04,3.15E-04,2.25E-04,1.60E-04,1.38E-04,1.82E-04,2.13E-04,2.47E-04
62,2.47E-04,2.46E-04,2.03E-04,1.69E-04,2.74E-04,1.13E-03,1.99E-04,2.23E-04,3.06E-04,2.41E-04,1.66E-04,1.44E-04,1.84E-04,2.16E-04,2.69E-04
63,2.38E-04,2.57E-04,2.02E-04,1.71E-04,2.94E-04,1.13E-03,2.06E-04,2.02E-04,3.08E-04,2.33E-04,1.82E-04,1.52E-04,2.02E-04,2.04E-04,2.64E-04
64,2.58E-04,2.80E-04,2.13E-04,1.79E-04,2.82E-04,1.12E-03,1.88E-04,2.08E-04,3.11E-04,2.63E-04,1.70E-04,1.47E-04,1.89E-04,2.07E-04,2.38E-04
65,2.66E-04,2.58E-04,1.98E-04,1.79E-04,2.62E-04,1.14E-03,2.19E-04,2.05E-04,3.11E-04,2.45E-04,1.66E-04,1.47E-04,2.10E-04,2.21E-04,2.67E-04
66,2.47E-04,2.56E-04,2.20E-04,1.77E-04,2.62E-04,1.11E-03,1.81E-04,2.05E-04,3.17E-04,2.67E-04,1.67E-04,1.19E-04,2.06E-04,2.32E-04,2.62E-04
67,2.52E-04,2.47E-04,2.10E-04,1.60E-04,2.54E-04,1.12E-03,1.83E-04,2.14E-04,3.08E-04,2.56E-04,1.82E-04,1.29E-04,1.90E-04,2.09E-04,2.53E-04
68,2.63E-04,2.63E-04,2.12E-04,1.52E-04,2.71E-04,1.12E-03,1.80E-04,2.07E-04,2.89E-04,2.45E-04,1.59E-04,1.32E-04,1.83E-04,2.26E-04,2.82E-04
69,2.52E-04,2.60E-04,1.60E-04,1.68E-04,2.63E-04,1.13E-03,2.00E-04,2.03E-04,3.17E-04,2.63E-04,1.68E-04,1.42E-04,1.95E-04,2.23E-04,2.69E-04
